Index	Content
44	. The goal of this channel is to think about crypto in a different way. Contrary to popular belief, crypto doesn't have to be, "Buy and hope it goes up." Through DeFi, there are so many ways to earn high & safe yields on your assets, which is a total game changer in terms of portfolio construction. 
45	. Yield farming is not a "get rich quick scheme," but rather a "slow grind to more wealth" strategy. And I argue that USING DeFi is the best way to LEARN DeFi, which will present natural alpha for you in the future. I am not an ecosystem maxi, but a yield maxi. If an ecosystem presents a good risk-adjusted yield, I will be there. Subscribe to follow my journey!
46	#Yield. #Farming
47	#Farms. #Farm
48	Episode 7 of Crypto Market Wizards, a new interview series focused on crypto traders in the trenches of the liquid markets. Today we have CL207 talking about his crypto journey and what it's like being a pseudonymous cat. He also shares some of his favorite memories from the last. …
49	...more. ...more
50	Chapters. View all
51	Origin Story of Cat. Origin Story of Cat
52	Origin Story of Cat. CL's Crypto Journey
53	CL's Crypto Journey. CL's Crypto Journey
54	Memorable Trades. Memorable Trades
55	Memorable Trades. Thoughts on Current Cycle
56	Thoughts on Current Cycle. Thoughts on Current Cycle
57	Viewing Crypto as a Game. Viewing Crypto as a Game
58	Viewing Crypto as a Game. Yield Farming & Thoughts on BLAST
59	Yield Farming & Thoughts on BLAST. Yield Farming & Thoughts on BLAST
60	"Fundamentals" in Crypto. "Fundamentals" in Crypto
61	"Fundamentals" in Crypto. CL's Trading Style
62	CL's Trading Style. CL's Trading Style
63	Explore the podcast. 24 episodes
64	24. episodes
65	Crypto Market Wizards. Taiki Maeda
66	Transcript. Follow along using the transcript.
67	Show transcript. Taiki Maeda
68	100K subscribers. Videos
69	About. Videos
70	About. Twitter
71	Steady Lads Podcast. Show less
72	Crypto Market Wizards. CL207 Crypto Journey
73	15,575 views. 15K views
74	Nov 26, 2023. 425
75	Share. Download
76	Download. Save
77	Comments. 86
78	Top comments. Newest first
79	Chapters. Origin Story of Cat
80	Origin Story of Cat. Origin Story of Cat
81	CL's Crypto Journey. CL's Crypto Journey
82	CL's Crypto Journey. Memorable Trades
83	Memorable Trades. Memorable Trades
84	Thoughts on Current Cycle. Thoughts on Current Cycle
85	Thoughts on Current Cycle. Viewing Crypto as a Game
86	Viewing Crypto as a Game. Viewing Crypto as a Game
87	Yield Farming & Thoughts on BLAST. Yield Farming & Thoughts on BLAST
88	Yield Farming & Thoughts on BLAST. "Fundamentals" in Crypto
89	"Fundamentals" in Crypto. "Fundamentals" in Crypto
90	CL's Trading Style. CL's Trading Style
91	CL's Trading Style. Thoughts on DeFi
92	Thoughts on DeFi. Thoughts on DeFi
93	Other Sectors like RWAs. Other Sectors like RWAs
94	Other Sectors like RWAs. Role of Influencers in Crypto
95	Role of Influencers in Crypto. Role of Influencers in Crypto
96	Thoughts on Friend.Tech. Thoughts on Friend.Tech
97	Thoughts on Friend.Tech. How to Utilize Crypto Twitter
98	How to Utilize Crypto Twitter. How to Utilize Crypto Twitter
99	CL's Trading Style. CL's Trading Style
100	CL's Trading Style. Common Traits of Successful Traders
101	Common Traits of Successful Traders. Common Traits of Successful Traders
102	Biggest Misconceptions about Crypto. Biggest Misconceptions about Crypto
103	Biggest Misconceptions about Crypto. CL's Relationship with Unisocks
104	CL's Relationship with Unisocks. CL's Relationship with Unisocks
105	Sync to video time. Sync to video time
106	Description. CL207 Crypto Journey
107	425. Likes
108	15,575. Views
109	Nov 26. 2023
110	Episode 7 of Crypto Market Wizards, a new interview series focused on crypto traders in the trenches of the liquid markets. Today we have CL207 talking about his crypto journey and what it's like being a pseudonymous cat. He also shares some of his favorite memories from the last cycle and how he tries to be a "happiness maxi." CL is the most humble cat I've ever met!. 
111	Crypto Market Wizards is an ad-free and sponsor-free podcast.. 
112	/ cl207. / hfaresearch
113	/ cryptomarketwiz. / taikimaeda2
114	My mission is to create high-quality, digestible (ad-free) content that helps separate signal from noise for DeFi/NFT enthusiasts. I do not run YouTube ads, participate in seed investments, nor do paid promotions. Not Financial Advice.. 
115	Origin Story of Cat. CL's Crypto Journey
116	Memorable Trades. Thoughts on Current Cycle
117	Viewing Crypto as a Game. Yield Farming & Thoughts on BLAST
118	"Fundamentals" in Crypto. CL's Trading Style
119	Thoughts on DeFi. Other Sectors like RWAs
120	Role of Influencers in Crypto. Thoughts on Friend.Tech
121	How to Utilize Crypto Twitter. CL's Trading Style
122	Common Traits of Successful Traders. Biggest Misconceptions about Crypto
123	CL's Relationship with Unisocks. 
124	The goal of this channel is to think about crypto in a different way. Contrary to popular belief, crypto doesn't have to be, "Buy and hope it goes up." Through DeFi, there are so many ways to earn high & safe yields on your assets, which is a total game changer in terms of portfolio construction. . 
125	Yield farming is not a "get rich quick scheme," but rather a "slow grind to more wealth" strategy. And I argue that USING DeFi is the best way to LEARN DeFi, which will present natural alpha for you in the future. I am not an ecosystem maxi, but a yield maxi. If an ecosystem presents a good risk-adjusted yield, I will be there. Subscribe to follow my journey!. #Yield
126	#Farming. #Farms
127	#Farm. Show less
128	...more. Episode 7 of Crypto Market Wizards, a new interview series focused on crypto traders in the trenches of the liquid markets. Today we have CL207 talking about his crypto journey and what it's like being a pseudonymous cat. He also shares some of his favorite memories from the last cycle and how he tries to be a "happiness maxi." CL is the most humble cat I've ever met!
129	. Crypto Market Wizards is an ad-free and sponsor-free podcast.
130	. / cl207
131	/ hfaresearch. / cryptomarketwiz
132	/ taikimaeda2. My mission is to create high-quality, digestible (ad-free) content that helps separate signal from noise for DeFi/NFT enthusiasts. I do not run YouTube ads, participate in seed investments, nor do paid promotions. Not Financial Advice.
133	. Origin Story of Cat
134	CL's Crypto Journey. Memorable Trades
135	Thoughts on Current Cycle. Viewing Crypto as a Game
136	Yield Farming & Thoughts on BLAST. "Fundamentals" in Crypto
137	CL's Trading Style. Thoughts on DeFi
138	Other Sectors like RWAs. Role of Influencers in Crypto
139	Thoughts on Friend.Tech. How to Utilize Crypto Twitter
140	CL's Trading Style. Common Traits of Successful Traders
141	Biggest Misconceptions about Crypto. CL's Relationship with Unisocks
142	. The goal of this channel is to think about crypto in a different way. Contrary to popular belief, crypto doesn't have to be, "Buy and hope it goes up." Through DeFi, there are so many ways to earn high & safe yields on your assets, which is a total game changer in terms of portfolio construction. 
143	. Yield farming is not a "get rich quick scheme," but rather a "slow grind to more wealth" strategy. And I argue that USING DeFi is the best way to LEARN DeFi, which will present natural alpha for you in the future. I am not an ecosystem maxi, but a yield maxi. If an ecosystem presents a good risk-adjusted yield, I will be there. Subscribe to follow my journey!
144	#Yield. #Farming
145	#Farms. #Farm
146	…. ...more
147	...more. Show less
148	Chapters. View all
149	Origin Story of Cat. Origin Story of Cat
150	Origin Story of Cat. CL's Crypto Journey
151	CL's Crypto Journey. CL's Crypto Journey
152	Memorable Trades. Memorable Trades
153	Memorable Trades. Thoughts on Current Cycle
154	Thoughts on Current Cycle. Thoughts on Current Cycle
155	Explore the podcast. 24 episodes
156	24. episodes
157	Crypto Market Wizards. Taiki Maeda
158	Transcript. Follow along using the transcript.
159	Show transcript. Taiki Maeda
160	100K subscribers. Videos
161	About. Videos
162	About. Twitter
163	Steady Lads Podcast. Transcript
164	Origin Story of Cat. what is up guys tyi here welcome to episode seven of the crypto Market Wizards podcast today I have here with
165	me the cat cl207 how are you doing today good good uh. very happy to be here yeah so what's like the origin behind the cat like what when did this become a thing yeah it's
166	always been a I mean there is like layers and layers of lore um I think the. earliest lore is like like my mom went to uh I think what's the word fortune
167	teller right yeah um and then she was like yo you know re read this and then. the fortune teller was like yo um you know uh he oh actually yeah something
168	funny was like he first of all he's he's like this person is going to be a great writer and I turned out to be a [ __ ]. poster and then he was like uh he might be successful so like uh but there is a
169	problem where people have are going to go after him right so that's like the feds um but he the the fortune teller. was like so to protect him from people going after him you have to uh let him know to be like
170	uh humble and soft so like people like don't go after him and then she's like. oh cool so she's like and then he's like yeah maybe you can give him like a cuter nickname or something and then she just
171	called me cat so that yeah so that's the original lore I got it like what's it. like being a ponm character uh I think you mentioned in some post that you know
172	you travel all the time um you know people know you as cat so it's harder to build like real life experience or you. know it's harder to build like meaningful connections like what are like the pros and cons of you know being this this cat online I don't feel like
173	there's many cons it's mostly just Pros that's like you're you're whatever you want and. then yeah you can say whatever you want like what are they going to do right like they're like yo who the [ __ ] yeah I
174	don't know we can't sue him for futing our backs and then it's like and then yeah I don't know maybe. the only con so far is like I feel like a bunch of smaller accounts get intimidated or like think
175	I'm like a trillionaire which I'm not even close to and then like think I'm some like uh I don't know they're just. like yo uh I don't know I don't know about meeting this guy like I know he's like like like definitely safe in the J
176	but like you know yeah so yeah maybe there is a bit of that but overall I think people. generally pretty happy to meet up um I think the harder to build like deeper
177	connection part is me more so because I travel too much so like I don't. really uh stay at a place to make like multi-year lifelong friends yeah I I
178	don't think I even have friends that I see consistently like throughout like a. whole year yeah I see yeah so I mean I don't think you necessarily need an
179	CL's Crypto Journey. introduction but how did you get into crypto trading like when and like what do you do now um I got an
180	18 and then I thought I can just buy and hold and get rich but like Bitcoin very. from like 3K to 12K like in 2019 and then I was like still super poor so I was like y I need some leverage you know
181	like just maybe like just some and then uh yeah just got into trading um and. then it became much more of like a kind of like a video game Endeavor where it's
182	like I was way more fascinated than by fascinated by why price moved and like. figuring it out than thinking about like oh how much am I going to make on this
183	trade I kind of just like had no idea until like sometimes like the trade kind of played out and I'm like oh. interesting um yeah that's how I started and yeah and then I I shared a lot lot of ideas on Twitter um and then I was
184	very lucky to have like an actual fund pick me up for a few months where I trade a prop for them um or traded. discretionary uh yeah as a discretionary Trader for them uh yeah it was really
185	like a bit of Lucky just to like start tweeting randomly and then lucky to have. this guy reach out and like yeah he he was telling his friends y he like autistic kid on the internet that seems
186	pretty good let's hire him uh and then I just got hired uh this guy gave me a. login I logged in and had like 100 Bitcoin in it on bit Max um I did okay
187	yeah and then I left went solo yeah when did you go solo uh in in 2020 yeah okay. like was this before the co crash or was it after uh it was about a month after yeah okay okay yeah like I I think last
188	time you met or like we met like you told me about like some crazy like experiences you had like March of 2020. like do you mind sharing to our audience like what happened then and like how you recovered yeah actually I I didn't lose
189	too much because I was like yo if I can trade on this account like I don't I don't need to like all in my own. personal 5K net worth into whatever [ __ ] right so I I didn't really trade it I had like just had some dust
190	on like FTX and bance back then um but the the fund I was at was very. into uh actually I'm not sure like how like if I'm allowed to say cuz I don't even sign paperwork at the fun I work
191	but you're a cat right you're a cat yeah but yeah so so maybe I can okay well the. fund was like very interested into like moving the price right like in favor of their position obviously um so we we did
192	a lot of [ __ ] like like sometimes when binance went down we were like yo can we shove coinbase spot like it's. like Mark it by like one clip can we just like send this sh like 10% for not
193	um so we like just it it's really like de like so. degenerate like shove Market see impact shove in different menu see impact um
194	like if this if we we're leading the price on like this venue like which other venue gets ared out first like we. actually it it was very degenerative but there also there was also like a it's not quantitative CU like we don't have
195	like computational modeling of like yo if we pump coinbase versus pumping on bitcoin on binance like which which one. pumps harder like like we kind of have a sense of binance have way deeper liquidity or like we we we we also have
196	shoved on okx quar fatures like these were the biggest products by that back. then and then okx was like a great platform to uh shove price back then
197	because uh H used to also be big and these was and HBY okx and binance was. like very well arbed against each each other um and then coinbase Kraken was way more segre segregated because I feel
198	like there the people that are between Asia and China uh and us uh they're. uncertain of uh the stable price of tether so some sometimes even if it's like tether is like 0.99 that's like a
199	massive difference on like if you can AR Bitcoin or not right so um while it was very dent and we tried to like n and. like move the market on bitmax and like all these platforms uh we did and up
200	getting a very clear sense of like how this Market worked um so the fund did. pretty well over all except in um in the crash where we actually did short but we
201	uh but I I did not uh long nor short I I was just flat um the the fund didn't do. too well but it did okay in Bitcoin terms uh but eventually uh I left and
202	yeah just did my own got it so would you say that you know you joined in 2018 you're trying to you. know trade up a small account uh couldn't do it use leverage and then eventually like joined some Prof fund uh
203	and then learned like the how the markets moved and then eventually you said you know what like let's just like let me do my own thing is that kind of. how like your journey is in crypto yeah to that point yeah got it like what led
204	you to take that leap like what made you say you know what like let me do my own thing like wasn't like did you think. that the opportunity was worth it um because you don't really have a trafi background right like you just join the markets price go up price go down try to
205	figure it out your know like what was like the system what was like the process like for you to just like go fulltime dude there there was no process. uh like like it was it was just like completely what do you call it like like
206	if you come out of school you have no job and then you're just trading crypto with like few grand you like you're. [ __ ] like I I think I was just more a bit of luck and other people just being
207	bad back then um I don't think it took that much to figure like to figure like. stuff out or even just to like beat the market right so and I I seem like half
208	of the trading going on is like just super gambling um so it it wasn't too hard to like shine a bit out like out of. that pool of Traders yeah I I had no logical like decision of like career big
209	picture like yeah I'm going to do this this is amazing for my like I had no idea okay. um yeah no I mean that that's like most people right I mean we just we just kind
210	of have like a gut feel or gut instinct and we say you know what like I feel it in my bones you know just [ __ ] go. along do you have like any memorable trades or like like I don't know like memorable moments that like LED you to I
211	Memorable Trades. guess quote unquote make it uh not really I think I think it it would be pretty surprising to yeah it's always
212	surprising to many people when I tell them like my biggest single trade piano I was like maybe two 300 like okay like. not more than that like but I have a lot of those and have a lot of like losses
213	in that range but like less often and that's about yeah much less like loss in. that most my loss are like much smaller so when I did do trade um it was very
214	much just sculp and like like intra days inra weeks like. nothing like I I've never held a position for over a month I don't think except Doge which I fumbled anyways what
215	was that Doge trade oh my God uh so me Ali Felman and. a few friends we we we had this whole thesis in like mid late 2020 well late
216	2020 as then like right before the Doge pump we gave up but we were like a significant chunk of like Doge Futures. uh Market where like the entire open interest is probably just us to be honest cuz like I know I personally help
217	over 10% of the the market on Doge and I also made sure to like long a like. exotic quarter lease contract where I don't do not have enough bed to get out after a buy right but I ended up getting
218	out anyways because I I was begging like S bankman free to give me a bit OTC to get out of the quarter lease contract. that has zero bid after a few months of holding that position but yeah um ouris
219	was like yeah the best shitcoin it's on Robin Hood you know if there's like. yeah it's just going to get get driven out by normies like who start getting in right so it played out
220	well just not the trade um when we missed out I don't know we could have I. think we collectively missed out on like a few hundred mil [Laughter]
221	yeah yeah yeah it's it's kind of ridiculous cuz at the top like Doge was. trading like 200 300 billion dollars a day like more than like National volume of entire like Korean uh Ron FX or some
222	[ __ ] like like like if you H had1 billion do of Doge I I still find this. fat ridiculous right because like you can sell one billion of nothing onto the
223	market no slippage like that's insane like you can't like that's just insane. yeah yeah would would you say like that type of environment is characteristic of like NE Market tops when I mean of
224	course for Bitcoin ether um you know you can trade billion without like minimal Sage but for altcoins like is that kind. of like how do you think about timing Market tops like identifying like like bottom signals and whatnot yeah they
225	tend to go on for a while so it could be a bit deceiving but like um yeah like if. every altcoin have like so much liquidity like something's wrong right like because at some point
226	um well like like I I don't really I I can't say for every Cy like the coming. Thoughts on Current Cycle
227	cycle like maybe the [ __ ] is just like the nor like in the future but partly because. this this this bottom so far we have had like we consolidate here for a year right and then you look at like like
228	what I would consider absolute vaporware to have multi billion market cap and then that's apparently the Pico. capitulation bottom like what the [ __ ] like that's our society is insane like like like it's just a collective what
229	like Collective uh like Pursuit to buy a lottery tickets and D gener trading like. and that that somehow just holds the market up right and I mean it kind of makes sense for word the world to go in
230	this direction um so it kind of makes sense so and there is way less like uh like. attract like like attractiveness to trading Bitcoin than like s so the next
231	like the the top could be like even like probably more ridiculous right so so yeah yeah like do you do you actually. see value in cryptocurrencies or do you just more see it as a market to trade with like all these autist individuals
232	just like gambling and degenerating like try to try to get out of you know like. you know to get to like next level of wealth I guess um there's always yeah I mean there is some value in like but I
233	think a lot more value in the in the prior statement about um just trading. yeah like literally just trading like it's just a game um then I mean there there is a lot of value I saw last cycle
234	where it's very small by the way um where like a a lot of artists I knew. um and I've commissioned like hundreds um they were very open to being paid in like stable coins or Bitcoin or e
235	um so that was very fascinating to me and like very just much more convenient. than like PayPal or wires like that was just way more just yeah
236	and un ironically like fees on a lot of these are actually cheaper than PayPal. so that's that's been good um so I mean there's definitely value in
237	like just an asset being globally traded over like yo you got to like sign up and. be like a creditor investor to like invest or like trade or and just fully kyc which and then
238	yeah many people don't want to do all of that and then if you're like not in the US you like your access to like a lot of. these financial instruments are super like restricted right so there's
239	definitely a lot of value in just having like this open participation um. yeah yeah like it's a lot of what we're gambling on like like 80% 90 or like or
240	more like 95% is just like hog garbage but it is what it is I guess um yeah. yeah like do you think it's important to view crypto as a game it seems like you
241	Viewing Crypto as a Game. were into video games you mentioned before that you kind of view this Market as a game do you think that helps you
242	separate the emotion and like the money component to it um do you think that's like really important to be a successful. crypto Trader yeah I would say people that view it as a game like
243	kind of like just like as not real like definitely have done well but also like. a lot of these have like lost at all just cuz like they they don't feel like it's real and I used to be way more like that but
244	you know if you go outside and just like even buy anything like like like holy crap this is like a fraction of your. slippage that's that's just absurd right like you got to start der risking at that point um I feel like yeah mentally
245	have D risk D risk D risk since like like end of 2020 early 2021 from that. yeah about prior to that like a lot of the trading I I've done are on way more
246	risk yeah yeah so like how much did you like. start out with um like like crypto a few few few grand got it and in the last
247	let's say from 2018 to 2021 um you've gone to a state where you know you're. comfortable with life you're you know traveling do do you think like that few th000 to make it is still possible in
248	crypto and if so if someone like retail is watching this video like how would you recommend uh like what do they to do. in order to you know make it in the next cycle let's say honestly I don't know but something I do realize is like just
249	like how intense the turnover rate is on crypto Twitter in terms of both just. people dying out and like Alpha where it's like I see a lot of people posting very
250	valuable stuff that only have like few thousand followers or like 10,000 like. like relatively small right and then here I am kind of just contributing nothing
251	um but like maybe like three four or five years ago I had a bit more to say about like you know Bitcoin and Defi and. like buying like what buying synthetics and a at pretty cheap and then longing here and shoting there on E
252	like but I see a lot of um let's just say like it's a it's it's a very. different game in like these kind of returns on like you you can definitely like trade on centralized exchange on
253	like Leverage that's like very I would say it's it's a it's. definitely harder than like 2019 2018 like that that period um but it's still
254	definitely doable like I would say the main issu is like binance removing liquidation feeds um you don't see the. like a clear picture of liquidation and open interest is like delayed by like a minute or something right so it's like
255	every time we pump we nuke like really fast um you're basically guessing like if you. should sell or not if or if you should buy or not like which can be deducted but it's just like uh it's just less
256	obvious I guess um so it's definitely still tradeable and uh off centralized. exchanges there's a lot of [ __ ] coining going on where like I feel like maybe like 20% win and
257	like majority of people just either run into a rug or just like f or like just buy the wrong thing. but it's that game is also just like very complex where it's like like sometime when [ __ ] really stands out go
258	from like like zero m zero market cap to like 100 Mil and it's all it's always pushed by like a lot a lot of like uh. what you call influencers and stuff um I mean it it is a game you can play
259	but yeah maybe yeah I I can't I can't feel like I can't I can't think if the. odds are better like here compared to tra trading like on Leverage on centralized but yeah there's a lot of
260	like this kind of stuff uh going on where I see I do see people make like a. lot of sums but yeah and I do feel like it's
261	Yield Farming & Thoughts on BLAST. honestly yeah like uh like for much lower risk there's a lot of like farming
262	stuff you can do um which luckily there wasn't much in my time because I would. have probably I don't know if I would have done that but maybe I would have yeah so I wouldn't have made as much but
263	yeah yeah so let's talk about farming um I do run a defi Channel um and recently there was this new form and you know. you're an investor uh in blast this new L2 backed by Paradigm um and backed by
264	paradig yes yes backed backed by Paradigm and right now um this blast. contract it's not a bridge it's contract it has Almost Let me refresh this it almost half a billion dollars in tvl and
265	this is a few days um it seems like a lot of people are upset upset by this um. I think it's a pretty good like marketing move I mean I think the chain itself itself makes sense as well um do
266	you mind kind of going over this you know incentives like mechanism like like. the points like thesis you have with like loyalty points marketing um do you think this is like where crypto goes
267	eventually where instead of giving out token rewards you just give out like fake points um and that way you know you. that way you you attract capital and try to I guess like bu that way
268	um what do you yeah I don't think it's worth worth for people to farm this anymore unless you do have a lot of. capital right and it's like um like points just they just work like
269	um you know there's like a like every company use it right if they have if. they have like a high user base or like audience um
270	and it's a great like both marketing like it's just it's a great Ponzi and. marketing thing to have and I do think yeah probably more projects are doing
271	doing it I mean they they are like you already see it um I don't yeah at at. half a bill like I mean like I think the TV goes to like more so it does reach
272	it's going to reach a point where like most it's not going to be worth for most of the people to farm it like maybe even. me right like so it probably is not the idea Farm um but yeah and there's
273	probably better Farms out there um which I I probably shall not say for for my own sake of uh. dilution got it got it yeah it's crazy I mean right now um there's a market on
274	"Fundamentals" in Crypto. Ava which is like this option perex and it's valuing blast to be 3.6 billion FDB
275	which is pretty insane right like they just spun up this contract collected half a billion and now I mean I'll be it. like the liquidity profile is like very thin there only like 75k worth of volume uh how do you think
276	like what do you think about like these valuation models like what gives l1's l2's value I mean what gives any token value have you ever like thought about. that like is there is there like an answer is there yeah what what crypto
277	mooves so weird right like how how do you value these things how do you think about valuations you you just you just move them based on uh like how many. people even know about it and how many people give a [ __ ] and pay attention to it that's pretty much it and then it's
278	like something I learned from Behavior site is uh we always need to have a. reason for something apparently right yeah so every decision we make there's
279	either uh a more like fact um concrete reason. or there is a more like social reason um so the fact reason would be like hey you
280	know we are ABC Capital we took your investor money and we bought Apple. shares and here's our reason like they they make a reason for why they bought Apple shares right and then they're like
281	oh the revenue is this their gross projections that like it's amazing like. the the earning to whatever price you know ratio is is great uh we're going to
282	hold this position and then like that kind of is like a c actually um like even yeah there is real money. like at some point it's like too cheap but like obviously like like if it's trading at
283	like 500 like it's it's pretty much like a game right so it's like even if it goes underwat I feel like a lot of these. funds are like kind of just become a c they're like oh no we still believe in this we still it's like it's like their
284	Bible right it's like no we believe in it and then the P good trust and then it's like they just keep holding it it's. like yo what the [ __ ] like and it's kind of the same and and here is like and and
285	and the more the more social part of reasoning would be be like hey you have. an iPhone yeah like you know the tech is amazing like we got this feature that feature like yeah iPhones are the best
286	you know it's just amazing and then it's like if you actually look through what they do with their phones like they they. don't they just they actually never use 90% of the quote unquote Tech they just mentioned and then it's like okay are
287	you really buying this for the tech or do you just like say something because that's socially acceptable to own an. iPhone and socially acceptable to say why and iPhone is superior right so it's like that's the two main reasoning we
288	give ourselves for our intentions um it's very much the same it's. like uh here where it's like the people make up some whatever metric and be like yo this is why this is valued at this
289	and why it's like going to go up or down and or like yo GCR bought so you know. it's it's now fashionable for me to own a position uh it's where it's like oh Kobe's in too yeah so you know I'm in
290	the trend and this is the new B the Balenciaga of uh uh the coin to hold for. this week right so it's like it's very similar in that um and especially if you're in like a
291	Discord group and everyone Apes a shitcoin like you kind of know like you're probably about to a that that. thing right so uh it it's yeah it's it's just
292	like overall it's just like how many people know about it and how many people really care about it in a sense. that give valuation to these tokens um and like attention is really
293	important now because like you could quote unquote have like amazing Tech like if no one talks about it like no. one like cares like even heard about it like how are they going to buy this coin right like they can't so we've reached a
294	point of where in my opinion uh social media is kind of like the. fundamentals or like we're getting more and more to that point and then it's like some people may be like yo some
295	protocols actually make money yo what do you mean and then it's like yeah well if no one talks about us about this on. social media then it never made money dude uh because people won't hear about it then they're not going to buy it but
296	everyone shows like oh this protocol makes money even if it's not a lot it's going to the token's probably going to. go up right so yeah it's very much just um getting to a point of uh just hyper
297	influence influencer like social media is Market yeah I would say yeah and I. think like gme was actually just like the start of like all of this um for
298	trashi like I think like even like Common Stocks like. in yeah defin maybe not like the the the major like stocks but like the midcaps
299	and small caps are definitely going to be moved um by like a lot of retail in the future too yeah yeah it's like if if. CL's Trading Style
300	a tree falls in the in the middle of the forest and no one's there to hear it like did it really make a noise right if a protocol has good fundamentals but no. one knows about it no one's Shilling it like is it actually good um yeah yeah I
301	I guess it's kind of like trading attention um like where attention flows um and I got this audience question um. asked him about his flows based approach to markets um and jez tweeted about this as well um like how would you
302	characterize your trading style like do you think that hey like if I expect attention to flow to this coin it makes. sense to front run those flows um because you know more people talk about it um you're trading attention is that
303	kind of how you would characterize your trading approach um honestly no I I'm I'm pretty horrible. at that actually which is why I don't I don't dabble so much in the allcoin market
304	um yeah I actually mostly just do like big caps um and the flows they talk. about or I've mentioned as actually more just like you know like if coinbase is
305	buying on spot and perss are longing on perss like dude it's just going to go up right like so that's the kind of flows I. trade and I like I'm a very aggressive Trader who does not care about entry and
306	like with no distinct stop loss but like at some I mean like some kind of like. momentum weight a stop loss or like like time weighted stop loss more so than like price one um like if like if spot
307	and pers are both like like buying like the last hour like I'm just going to buy like yeah I'm buying the top why not. like a sell like a the next to right like so like I'm very aggressive and
308	stuff like that and like if they stop buying then sure you know uh I'm very I'm very likely looking to like just. close out um no matter where the price is if it's higher or same or lower right
309	so that that's I guess just like trading momentum honestly but. you also do factor in some stuff like hey you know we've everyone's been buying and longing for like three weeks
310	you know if momentum breaks here it's going to be huge so then I might Jam in on like a reverse like you know no one's. fought in like six like six hours and there open interest and leverages and
311	funding rates are Jack you know I'm going to jam on the first uh like sell. sell momentum right so it it it there's there's a lot of game to like like that
312	in terms of flows and and then you're kind of just praying the people who've been buying like take some profits or. like Panic sell or what whatever right so that's a lot of the flows I trade and
313	I I think jez is a much better narrative Trader than me and most people honestly like like uh I'm the type to like think. about oh Doge could be the next narrative and then just like not even have any exposure yeah so yeah I'm
314	Thoughts on DeFi. probably not a great like all Co Traer except for def I guess um that was just
315	very obvious maybe because I the groups I hang out with are more like on the. funds sides and like retail side maybe it's more obvious if like you talk to like 100 like non-institutional Traders
316	every day like I mean that's a lot of alpha right they might start talking about xcoin and all of them are like. yeah yeah I don't have exposure Heats pumping [ __ ] and then you're like [ __ ] it I'm just going to long it like I I
317	don't know what what they do honestly but when I was like in like people are funds are talking. about def5 they're like yo we can't deploy cuz there's no liquidity I'm like that's so bullish
318	all yeah so so that's more like the stuff I I hear about so I may know a bit. more of um I I I I I do remember the synthetics a trade I was buying
319	synthetics at like sub $1 and then like every 5,000 usdc buy I made on chain it. was moving the price 2% % and then I was like wait that I can't even you know pack a 50k back then I'm going to move
320	the price up 20% like that's ridiculous right so you're really like really trying to like not like slap the price. too hard um yeah so that that was like a very
321	different tra trading and I I didn't even put too much into like these trades because like I just had no idea if it. really does play or or or not although I kind of feel like it like almost like was definitely what like going to play
322	out yeah yeah you mentioned the defi trade I'm assuming in 2020 was like obvious right uh like what made it. obvious aside from the fact that maybe at the time your size was in size and you were front running you know like the
323	institutional bid uh like what like what did you see in defi at the time that made you think that like wow like this. is so obvious like I have to you know buy snx a etc oh it was like pretty much the only thing that was new and shiny
